Ref,Val,Package,PosX,PosY,Rot,Side
"D3","LED_R","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",181.950000,-54.725000,270.000000,bottom
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",190.650000,-54.750000,180.000000,bottom
"D6","LED_G","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",190.650000,-54.725000,270.000000,bottom
"R3","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",183.950000,-54.650000,270.000000,bottom
"R4","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",185.700000,-54.637500,270.000000,bottom
